,India,England,India PCT,England PCT,South Africa,Australia,Australia PCT,India Qualify,England Qualify,Australia Qualify ,Check,Edge Case,,NewZealand,0.7
84,1,3,63.89%,69.72%,1,0,59.67%,,Yes,,,0,,,
85,1,3,63.89%,69.72%,1,1,64.17%,,Yes,,,0,,,
86,1,3,63.89%,69.72%,1,2,68.67%,,Yes,,,0,,,
87,1,3,63.89%,69.72%,2,0,57.50%,,Yes,,,0,,,
88,1,3,63.89%,69.72%,2,1,62.00%,,Yes,,,0,,,
89,1,3,63.89%,69.72%,3,0,55.33%,,Yes,,,1,,,
90,2,0,70.83%,60.00%,0,0,61.83%,Yes,,,,0,,,
91,2,0,70.83%,60.00%,0,1,66.33%,Yes,,,,0,,,
92,2,0,70.83%,60.00%,0,2,70.83%,Yes,,Yes,,0,,,
93,2,0,70.83%,60.00%,0,3,75.33%,Yes,,Yes,,1,,,
94,2,0,70.83%,60.00%,1,0,59.67%,Yes,,,,0,,,
95,2,0,70.83%,60.00%,1,1,64.17%,Yes,,,,0,,,
96,2,0,70.83%,60.00%,1,2,68.67%,Yes,,,,0,,,
97,2,0,70.83%,60.00%,2,0,57.50%,Yes,,,,0,,,
98,2,0,70.83%,60.00%,2,1,62.00%,Yes,,,,0,,,
99,2,0,70.83%,60.00%,3,0,55.33%,Yes,,,,1,,,
100,2,1,69.44%,62.78%,0,0,61.83%,Yes,,,,0,,,
101,2,1,69.44%,62.78%,0,1,66.33%,Yes,,,,0,,,
102,2,1,69.44%,62.78%,0,2,70.83%,,,Yes,,0,,,
103,2,1,69.44%,62.78%,0,3,75.33%,,,Yes,,1,,,
104,2,1,69.44%,62.78%,1,0,59.67%,Yes,,,,0,,,
105,2,1,69.44%,62.78%,1,1,64.17%,Yes,,,,0,,,
106,2,1,69.44%,62.78%,1,2,68.67%,Yes,,,,0,,,
107,2,1,69.44%,62.78%,2,0,57.50%,Yes,,,,0,,,
108,2,1,69.44%,62.78%,2,1,62.00%,Yes,,,,0,,,
109,2,1,69.44%,62.78%,3,0,55.33%,Yes,,,,1,,,
110,2,2,68.06%,65.56%,0,0,61.83%,Yes,,,,0,,,
111,2,2,68.06%,65.56%,0,1,66.33%,Yes,,,,0,,,
112,2,2,68.06%,65.56%,0,2,70.83%,,,Yes,,0,,,
113,2,2,68.06%,65.56%,0,3,75.33%,,,Yes,,1,,,
114,2,2,68.06%,65.56%,1,0,59.67%,Yes,,,,0,,,
115,2,2,68.06%,65.56%,1,1,64.17%,Yes,,,,0,,,
116,2,2,68.06%,65.56%,1,2,68.67%,,,Yes,,0,,,
117,2,2,68.06%,65.56%,2,0,57.50%,Yes,,,,0,,,
118,2,2,68.06%,65.56%,2,1,62.00%,Yes,,,,0,,,
119,2,2,68.06%,65.56%,3,0,55.33%,Yes,,,,1,,,
120,3,0,73.61%,58.61%,0,0,61.83%,Yes,,,,0,,,
121,3,0,73.61%,58.61%,0,1,66.33%,Yes,,,,0,,,
122,3,0,73.61%,58.61%,0,2,70.83%,Yes,,Yes,,0,,,
123,3,0,73.61%,58.61%,0,3,75.33%,Yes,,Yes,,1,,,
124,3,0,73.61%,58.61%,1,0,59.67%,Yes,,,,0,,,
125,3,0,73.61%,58.61%,1,1,64.17%,Yes,,,,0,,,
126,3,0,73.61%,58.61%,1,2,68.67%,Yes,,,,0,,,
127,3,0,73.61%,58.61%,2,0,57.50%,Yes,,,,0,,,
128,3,0,73.61%,58.61%,2,1,62.00%,Yes,,,,0,,,
129,3,0,73.61%,58.61%,3,0,55.33%,Yes,,,,1,,,
130,3,1,72.22%,61.39%,0,0,61.83%,Yes,,,,0,,,
131,3,1,72.22%,61.39%,0,1,66.33%,Yes,,,,0,,,
132,3,1,72.22%,61.39%,0,2,70.83%,Yes,,Yes,,0,,,
133,3,1,72.22%,61.39%,0,3,75.33%,Yes,,Yes,,1,,,
134,3,1,72.22%,61.39%,1,0,59.67%,Yes,,,,0,,,
135,3,1,72.22%,61.39%,1,1,64.17%,Yes,,,,0,,,
